,time,num,savedAt
162,2021-07-07T16:30:00.000Z,331.375,1625646600000
163,2021-07-07T16:45:00.000Z,402.0,1625647500000
164,2021-07-07T17:00:00.000Z,470.93333333333334,1625648400000
165,2021-07-07T17:15:00.000Z,540.5625,1625649300000
166,2021-07-07T17:30:00.000Z,611.8125,1625650200000
167,2021-07-07T17:45:00.000Z,682.375,1625651100000
168,2021-07-07T18:00:00.000Z,753.6875,1625652000000
169,2021-07-07T18:15:00.000Z,825.375,1625652900000
170,2021-07-07T18:30:00.000Z,896.875,1625653800000
171,2021-07-07T18:45:00.000Z,967.0625,1625654700000
172,2021-07-07T19:00:00.000Z,1034.2666666666667,1625655600000
173,2021-07-07T19:15:00.000Z,1101.5625,1625656500000
174,2021-07-07T19:30:00.000Z,1172.5625,1625657400000
175,2021-07-07T19:45:00.000Z,1245.125,1625658300000
176,2021-07-07T20:00:00.000Z,1316.5625,1625659200000
177,2021-07-07T20:15:00.000Z,1388.0,1625660100000
178,2021-07-07T20:30:00.000Z,1457.0,1625661000000
179,2021-07-07T20:45:00.000Z,1525.6875,1625661900000
180,2021-07-07T21:00:00.000Z,1597.1875,1625662800000
181,2021-07-07T21:15:00.000Z,1670.0,1625663700000
182,2021-07-07T21:30:00.000Z,1742.875,1625664600000
183,2021-07-07T21:45:00.000Z,1815.4375,1625665500000
184,2021-07-07T22:00:00.000Z,1886.8666666666666,1625666400000
185,2021-07-07T22:15:00.000Z,1961.0,1625667300000
186,2021-07-07T22:30:00.000Z,2034.6875,1625668200000
187,2021-07-07T22:45:00.000Z,2103.6666666666665,1625669100000
188,2021-07-07T23:00:00.000Z,2172.4375,1625670000000
189,2021-07-07T23:15:00.000Z,2242.9375,1625670900000
190,2021-07-07T23:30:00.000Z,2313.8125,1625671800000
191,2021-07-07T23:45:00.000Z,2379.375,1625672700000
192,2021-07-08T00:00:00.000Z,2439.375,1625673600000
193,2021-07-08T00:15:00.000Z,2500.125,1625674500000
194,2021-07-08T00:30:00.000Z,2563.0,1625675400000
